,type,model,window,size,count,acc,loss,val_acc,val_loss
0,MORPHEME,word2vec,2.0,50.0,10.0,0.5894013881136212,0.9564075612160114,0.7026245131405864,0.23645271077421448
1,MORPHEME,word2vec,2.0,50.0,20.0,0.6523475887651504,0.9137360479758102,0.6954327472701058,1.1915315291002382
2,MORPHEME,word2vec,2.0,50.0,50.0,0.5848774116451672,0.9622641235329048,0.6949783275795017,0.2772141366157773
3,MORPHEME,word2vec,2.0,50.0,100.0,0.5832342368397913,0.9695061596425023,0.6789253504752184,0.272340738058907
4,MORPHEME,word2vec,2.0,100.0,10.0,0.646830867517009,1.020104579082187,0.7692017220141151,0.2899255933179746
5,MORPHEME,word2vec,2.0,100.0,20.0,0.7076319737687982,0.9666858516591558,0.7564927606199462,1.2582917932286117
6,MORPHEME,word2vec,2.0,100.0,50.0,0.6492088358903452,1.0305172044435926,0.7595114566073189,0.34331409789300305
7,MORPHEME,word2vec,2.0,100.0,100.0,0.6378452389353653,1.0365036001819976,0.7320204978821229,0.33088853557914744
8,MORPHEME,word2vec,2.0,300.0,10.0,0.6397743592170572,1.0139922015057337,0.7527283936022499,0.28542653502753423
9,MORPHEME,word2vec,2.0,300.0,20.0,0.7109596714901221,0.973637870365808,0.7488451488753812,1.257272634553033
10,MORPHEME,word2vec,2.0,300.0,50.0,0.6317351581277038,1.0109377302729674,0.748079625831922,0.3325809447148416
11,MORPHEME,word2vec,2.0,300.0,100.0,0.6359034963950098,1.0311201243173462,0.7381146508811838,0.319480301259337
12,MORPHEME,word2vec,2.0,500.0,10.0,0.8084136979249771,0.8205780328426858,0.8287896368210377,0.649599601899706
13,MORPHEME,word2vec,2.0,500.0,50.0,0.80949784881786,0.8393415821311304,0.8126694647146886,0.6947561551454804
14,MORPHEME,word2vec,2.0,500.0,100.0,0.8039379950164948,0.8423706040486452,0.8074869939514897,0.6755467057115099
15,MORPHEME,word2vec,2.0,1000.0,10.0,0.7453403115362616,0.7640496051158527,0.7664737130512849,0.589159771543128
16,MORPHEME,word2vec,2.0,1000.0,50.0,0.742455152824787,0.7745850917029847,0.7515375212943072,0.6393681187885811
17,MORPHEME,word2vec,2.0,1000.0,100.0,0.7410805329653524,0.7850885868739212,0.737599413178828,0.6242080432861365
18,MORPHEME,word2vec,5.0,50.0,10.0,0.7592432024762392,0.7698984238775992,0.7690658771497085,0.5842492341582354
19,MORPHEME,word2vec,5.0,50.0,50.0,0.7509818250233267,0.7817280654074945,0.7543141818618103,0.6427262371492295
20,MORPHEME,word2vec,5.0,50.0,100.0,0.7482868821396573,0.7854733437155044,0.744120828223518,0.6266681480964597
21,MORPHEME,word2vec,5.0,100.0,10.0,0.8091824066501812,0.8269206891108362,0.8267900637249413,0.6562562213419166
22,MORPHEME,word2vec,5.0,100.0,50.0,0.8060155493848578,0.8404803766521957,0.8151496048269623,0.7096056302174893
23,MORPHEME,word2vec,5.0,100.0,100.0,0.8132946394858968,0.8376433948154578,0.8053042443927774,0.6824857310675831
24,MORPHEME,word2vec,5.0,300.0,10.0,0.8177651764987178,0.8260566372669925,0.8226333305764912,0.6499723694693255
25,MORPHEME,word2vec,5.0,300.0,50.0,0.8167033599897202,0.8374891170927103,0.8062049040788654,0.7084172805317188
26,MORPHEME,word2vec,5.0,300.0,100.0,0.8103394894486831,0.845843872423177,0.812251674489744,0.6752652153610533
27,MORPHEME,word2vec,5.0,500.0,10.0,0.8161185128143145,0.8230340167436495,0.825145942616983,0.6574626246048767
28,MORPHEME,word2vec,5.0,500.0,50.0,0.8088501640984016,0.8445889806678637,0.8192374883273654,0.7027546168378191
29,MORPHEME,word2vec,5.0,500.0,100.0,0.8137111260635306,0.8395426893872397,0.815362398697926,0.6881981484056093
30,MORPHEME,word2vec,5.0,1000.0,10.0,0.8204709198579303,0.8302709657220262,0.8357844650264453,0.6604627541042993
31,MORPHEME,word2vec,5.0,1000.0,50.0,0.8094275864911289,0.8410242289587192,0.8212721446367156,0.7051033756851872
32,MORPHEME,word2vec,5.0,1000.0,100.0,0.8142551963345152,0.8491634702035221,0.8144519723628347,0.6831925660831055
33,MORPHEME,word2vec,7.0,50.0,10.0,0.9156715201562616,0.29525909298491015,0.7648672665607342,0.7073894319557374
34,MORPHEME,word2vec,7.0,50.0,20.0,0.7643971575754805,0.7547950706232138,0.7757372841501059,0.9210728628408121
35,MORPHEME,word2vec,7.0,50.0,50.0,0.8947571499554338,0.28998491377884783,0.758801872361488,0.6925944259418038
36,MORPHEME,word2vec,7.0,50.0,100.0,0.8862454525502941,0.2680558872829068,0.7475352685999983,0.6881584006414991
37,MORPHEME,word2vec,7.0,100.0,10.0,0.9756805993703034,0.3495126700851104,0.8259350215139305,0.7636430375976796
38,MORPHEME,word2vec,7.0,100.0,20.0,0.8319578527836408,0.8210858463977293,0.8229451258386073,0.9846683874625198
