,type,model,window,size,count,acc,loss,val_acc,val_loss
0,JAMO,fastText_WORD,5,100,20,0.813936667,0.389284114,0.62798,0.630615809
1,JAMO,fastText_WORD,5,1000,20,0.901956667,0.218252009,0.62455,0.882053865
2,JAMO,fastText_WORD,5,300,20,0.843783333,0.334521088,0.64059,0.653855995
3,JAMO,fastText_WORD,5,50,20,0.792693333,0.426558286,0.54766,0.737303174
4,JAMO,fastText_WORD,5,500,10,0.891306667,0.24352365,0.64578,0.78129365
5,JAMO,fastText_WORD,5,500,100,0.83123,0.351850902,0.53952,0.812903602
6,JAMO,fastText_WORD,10,500,20,0.878836667,0.266727796,0.65325,0.717042777
7,JAMO,fastText_WORD,2,500,20,0.881203333,0.260941454,0.62335,0.805043699
8,JAMO,fastText_WORD,5,500,20,0.87774,0.268389947,0.62583,0.771674207
9,JAMO,fastText_WORD,7,500,20,0.878653333,0.266401575,0.63196,0.752381561
10,JAMO,fastText_WORD,5,500,50,0.842513333,0.333746422,0.55635,0.781678473
51,SYLLABLE,fastText_WORD,5,100,20,0.809283333,0.395608077,0.61469,0.666517087
53,SYLLABLE,fastText_WORD,5,1000,20,0.88671,0.247329254,0.61709,0.851200299
55,SYLLABLE,fastText_WORD,5,300,20,0.82185,0.373197016,0.63366,0.624937184
57,SYLLABLE,fastText_WORD,5,50,20,0.78881,0.431527202,0.57717,0.69543559
59,SYLLABLE,fastText_WORD,10,500,20,0.85907,0.302842056,0.5931,0.778422002
60,SYLLABLE,fastText_WORD,2,500,20,0.852436667,0.314668043,0.59345,0.745570959
61,SYLLABLE,fastText_WORD,5,500,10,0.870053333,0.281389309,0.62209,0.761164271
62,SYLLABLE,fastText_WORD,5,500,100,0.824663333,0.361974764,0.55722,0.780935433
63,SYLLABLE,fastText_WORD,5,500,20,0.866793333,0.287713919,0.6283,0.74346458
64,SYLLABLE,fastText_WORD,5,500,50,0.846506667,0.322496448,0.58103,0.770829334
65,SYLLABLE,fastText_WORD,7,500,20,0.861673333,0.2962482,0.63501,0.739335839
