,type,model,window,size,count,acc,loss,val_acc,val_loss
0,MORPHEME,fastText,2.0,50.0,10.0,0.7239133939930552,1.025409538649126,0.7574083735142154,0.9091421057375688
1,MORPHEME,fastText,2.0,50.0,20.0,0.7632944802619066,0.7612266160766473,0.7744934080081181,0.7404295848816055
2,MORPHEME,fastText,2.0,50.0,50.0,0.6872127968620976,1.0352632971931854,0.7717660167737087,0.9290929956315928
3,MORPHEME,fastText,2.0,50.0,100.0,0.6901983132464342,1.0282313960204066,0.7383899480036227,1.0111723871536464
4,MORPHEME,fastText,2.0,100.0,10.0,0.7120713890672554,1.0999685277827862,0.7704957341211828,0.9743935904017874
5,MORPHEME,fastText,2.0,100.0,20.0,0.774650804610193,0.7786054451375106,0.7881894922632974,0.7604049958749357
6,MORPHEME,fastText,2.0,100.0,50.0,0.6878219037202135,1.1018656136319003,0.7747041900218155,0.9880272151861478
7,MORPHEME,fastText,2.0,100.0,100.0,0.6941359269998574,1.1105231546151784,0.7382224325877788,1.0636630716696904
8,MORPHEME,fastText,2.0,300.0,10.0,0.8328814470794043,0.8268312047610837,0.828589996571264,0.8569475265392361
9,MORPHEME,fastText,2.0,300.0,50.0,0.8532478162509485,0.8376670606446671,0.8447841031956168,0.8576440866851806
10,MORPHEME,fastText,2.0,300.0,100.0,0.8218133196716443,0.8083291864097522,0.8136527908044122,0.8285168741279993
11,MORPHEME,fastText,2.0,500.0,10.0,0.7563849938170313,1.2732079936767375,0.8101835370274233,1.092921198362256
12,MORPHEME,fastText,2.0,500.0,20.0,0.8235945128452565,0.8193936969973064,0.8311875325739346,0.8044936399592731
13,MORPHEME,fastText,2.0,500.0,50.0,0.7136631405685634,1.268909333079317,0.8390498934026206,1.1120309512899482
14,MORPHEME,fastText,2.0,500.0,100.0,0.7172971192169894,1.2740709878995886,0.7964689459208653,1.1933483813072132
15,MORPHEME,fastText,2.0,1000.0,10.0,0.8189592798605806,0.8537587943260956,0.8893519856690046,0.8803693526508335
16,MORPHEME,fastText,2.0,1000.0,50.0,0.9192173820269581,0.8231771324737824,0.8876040260570774,0.6330984595504321
17,MORPHEME,fastText,2.0,1000.0,100.0,0.816684183863766,0.8580530369309011,0.8816332001187155,0.877548279985085
18,MORPHEME,fastText,5.0,50.0,10.0,0.7776331269034322,0.7583391496221654,0.7473432816994826,0.7768274433491191
19,MORPHEME,fastText,5.0,50.0,50.0,0.7487430976019367,0.7697130139100362,0.7556214205803466,0.8050509957333926
20,MORPHEME,fastText,5.0,50.0,100.0,0.7451377035020117,0.7624534179118048,0.7216481829591462,0.8809298896604061
21,MORPHEME,fastText,5.0,100.0,10.0,0.7911945269472054,0.7772506359404698,0.7550234360704879,0.7982534834630854
22,MORPHEME,fastText,5.0,100.0,50.0,0.755158044166196,0.7784733474684474,0.7629163727451108,0.8072364482830523
23,MORPHEME,fastText,5.0,100.0,100.0,0.7648848880439424,0.7791050808140586,0.7285113696039232,0.8824039599637907
24,MORPHEME,fastText,5.0,300.0,10.0,0.8672095983663626,0.832154552809073,0.8247253243273865,0.8586583979483019
25,MORPHEME,fastText,5.0,300.0,50.0,0.8288106137646721,0.8394066916988423,0.8300052788003368,0.8786941239159752
26,MORPHEME,fastText,5.0,300.0,100.0,0.835142751401032,0.8405766577863242,0.8031183708942681,0.9474366560064696
27,MORPHEME,fastText,5.0,500.0,10.0,0.8456791075535882,0.823285328926426,0.8001160413695431,0.8385284533675702
28,MORPHEME,fastText,5.0,500.0,50.0,0.8051132777837277,0.8199886585691912,0.8201399817887873,0.8644526220314234
29,MORPHEME,fastText,5.0,500.0,100.0,0.8104804397580736,0.8233525917705293,0.7826563463679458,0.9411941788436752
30,MORPHEME,fastText,5.0,1000.0,10.0,0.9262143491158247,0.8128544317342423,0.8424335439849453,0.6561967324164402
31,MORPHEME,fastText,5.0,1000.0,50.0,0.8707440198650175,0.7780675577896782,0.8409897569283411,0.5720003829073818
32,MORPHEME,fastText,5.0,1000.0,100.0,0.9199463461803971,0.8037801940916263,0.839133305730171,0.6575959325948474
33,MORPHEME,fastText,7.0,50.0,10.0,0.6773705433146218,1.0020190556459139,0.7680197504267416,0.8495169085918368
34,MORPHEME,fastText,7.0,50.0,20.0,0.7670251363785537,0.7617304320057758,0.7812296084909048,0.7582129563150035
35,MORPHEME,fastText,7.0,50.0,50.0,0.691390176256662,1.0105690346839948,0.7785356039067353,0.8618746273594662
36,MORPHEME,fastText,7.0,50.0,100.0,0.6594913979431797,0.9708433424721006,0.7430194865582155,0.8345987327016877
37,MORPHEME,fastText,7.0,100.0,10.0,0.6754674222453986,1.074210877013961,0.7736552131312691,0.9039102497929534
38,MORPHEME,fastText,7.0,100.0,20.0,0.7765569548144357,0.7755186756194878,0.7904184556170887,0.7637530688684547
39,MORPHEME,fastText,7.0,100.0,50.0,0.6734479896048174,1.074943563329452,0.7752369856209499,0.9159721501448133
40,MORPHEME,fastText,7.0,100.0,100.0,0.6403777061412554,1.0441983429300903,0.7462729039644916,0.8882582886439591
41,MORPHEME,fastText,7.0,300.0,10.0,0.8352592217939752,0.8185022737254369,0.8396930522345702,0.862283887518698
42,MORPHEME,fastText,7.0,300.0,50.0,0.8421155964651311,0.8319049800457955,0.8404643487267093,0.869447762249288
43,MORPHEME,fastText,7.0,300.0,100.0,0.8217837238906538,0.8089629906971111,0.8118785338703522,0.8402031770971682
44,MORPHEME,fastText,7.0,500.0,10.0,0.6950876805600493,1.2527625588446825,0.8178776093358519,1.033933384164443
45,MORPHEME,fastText,7.0,500.0,20.0,0.8173271815361168,0.8309857115790854,0.832749118032658,0.8074073304098338
46,MORPHEME,fastText,7.0,500.0,50.0,0.7131999586751815,1.262996806139057,0.8362860938428986,1.0504498035154117
47,MORPHEME,fastText,7.0,500.0,100.0,0.676787908151677,1.2258366883491876,0.7997298440045822,1.0052723379758832
48,MORPHEME,fastText,7.0,1000.0,10.0,0.9265759662016277,0.7834517852629522,0.8412356758736615,0.6996721718055463
49,MORPHEME,fastText,7.0,1000.0,50.0,0.875044370975044,0.7909550847484,0.8539335237354294,0.5900415858062295
50,MORPHEME,fastText,7.0,1000.0,100.0,0.9129879174253374,0.7888343033154852,0.8418626612381116,0.6986600279019158
51,MORPHEME,fastText,10.0,50.0,10.0,0.6704224537920666,1.021042674329534,0.7622939491092264,0.8279225116796186
52,MORPHEME,fastText,10.0,50.0,20.0,0.7529392360034506,0.7790893775367257,0.7731866564712208,0.7281164337655169
53,MORPHEME,fastText,10.0,50.0,50.0,0.6748694170218138,1.0244054460777752,0.7695656720318811,0.8390234339528883
54,MORPHEME,fastText,10.0,50.0,100.0,0.6388194471571845,0.9906188157772036,0.7343454344894624,0.8076031490201272
55,MORPHEME,fastText,10.0,100.0,10.0,0.6714374951458678,1.0863427101275518,0.781452006827771,0.8844258893253663
56,MORPHEME,fastText,10.0,100.0,20.0,0.7745701985857616,0.7948829510564541,0.796598960054162,0.741647744802483
57,MORPHEME,fastText,10.0,100.0,50.0,0.6712636953530005,1.1031157704715253,0.789610341118974,0.8886623439937932
58,MORPHEME,fastText,10.0,100.0,100.0,0.6365535447575623,1.0612899612988083,0.7537648574773389,0.8626290438934182
59,MORPHEME,fastText,10.0,500.0,10.0,0.6936072648035058,1.2518532000042923,0.827170500018642,1.003416437392504
60,MORPHEME,fastText,10.0,500.0,20.0,0.8179902953143898,0.8358257161644196,0.8414759389603805,0.7845704942652084
61,MORPHEME,fastText,10.0,500.0,50.0,0.7173129721927906,1.2728884991169547,0.8351940609294304,1.0233504768015844
62,MORPHEME,fastText,10.0,500.0,100.0,0.6711865118804426,1.233601375801557,0.8070874894179862,0.9953527571357842
