,type,model,window,size,count,acc,loss,val_acc,val_loss
0,MORPHEME,fastText,2,1000,10,0.96121,0.373512573,0.81281,0.654658211
1,MORPHEME,fastText,2,1000,20,0.857536667,0.455650041,0.85999,0.831212096
2,MORPHEME,fastText,2,1000,50,0.94549,0.381874231,0.81425,0.60872298
3,MORPHEME,fastText,2,1000,100,0.941303333,0.386836437,0.81741,0.616064464
4,MORPHEME,fastText,7,300,20,0.928033333,0.407341323,0.85477,0.58922741
5,MORPHEME,fastText,7,1000,50,0.875044371,0.790955085,0.853933524,0.590041586
6,MORPHEME,fastText,10,300,20,0.926173333,0.417405154,0.85223,0.562615391
7,MORPHEME,fastText,2,300,20,0.930363333,0.405507558,0.85018,0.583748397
8,MORPHEME,fastText,2,300,50,0.853247816,0.837667061,0.844784103,0.857644087
9,MORPHEME,fastText,5,1000,10,0.926214349,0.812854432,0.842433544,0.656196732
10,MORPHEME,fastText,7,1000,100,0.912987917,0.788834303,0.841862661,0.698660028
11,MORPHEME,fastText,10,500,20,0.817990295,0.835825716,0.841475939,0.784570494
12,MORPHEME,word2vec,10,500,20,0.93157,0.374700439,0.8414,0.563302959
13,MORPHEME,fastText,7,1000,10,0.926575966,0.783451785,0.841235676,0.699672172
14,MORPHEME,fastText,5,1000,50,0.87074402,0.778067558,0.840989757,0.572000383
15,MORPHEME,fastText,10,300,50,0.908156667,0.419469942,0.84065,0.597843034
16,MORPHEME,fastText,7,300,50,0.842115596,0.83190498,0.840464349,0.869447762
17,MORPHEME,word2vec,10,500,10,0.831208069,0.846290828,0.839851294,0.663142252
18,MORPHEME,fastText,7,300,10,0.835259222,0.818502274,0.839693052,0.862283888
19,MORPHEME,fastText,5,300,20,0.929826667,0.405222392,0.83935,0.599534506
20,MORPHEME,fastText,5,1000,100,0.919946346,0.803780194,0.839133306,0.657595933
21,MORPHEME,fastText,2,500,50,0.713663141,1.268909333,0.839049893,1.112030951
