,type,model,window,size,count,acc,loss,val_acc,val_loss
0,MORPHEME,glove,2.0,50.0,10.0,0.35620354771328827,0.8189096671101931,0.6412695158238785,0.5950482850584121
1,MORPHEME,glove,2.0,50.0,20.0,0.6044818475645494,0.6241267057112196,0.5755538248061323,0.5970017074194758
2,MORPHEME,glove,2.0,50.0,50.0,0.42049511233401193,0.8134557036286588,0.5823043887862521,0.5225768604985227
3,MORPHEME,glove,2.0,50.0,100.0,0.40020198832570336,0.8227457088111044,0.5650631605832437,0.5073299500019581
4,MORPHEME,glove,2.0,100.0,10.0,0.4668072298848227,0.9240499962794924,0.7523982551299171,0.7023792416380804
5,MORPHEME,glove,2.0,100.0,20.0,0.722188213253144,0.7342721826276124,0.6854089432655456,0.7111176079646132
6,MORPHEME,glove,2.0,100.0,50.0,0.5377143011998422,0.920404537184231,0.6882895559338514,0.6405916137334976
7,MORPHEME,glove,2.0,100.0,100.0,0.5062300387668542,0.92412471525109,0.6790133624922203,0.6170096705349112
8,MORPHEME,glove,2.0,300.0,10.0,0.492017548889053,0.9540847023543207,0.7694385406555998,0.7327464476832477
9,MORPHEME,glove,2.0,300.0,20.0,0.7375885832468647,0.7530783330646276,0.7117828709847422,0.7370606866900381
10,MORPHEME,glove,2.0,300.0,50.0,0.5628794134562803,0.947669965512799,0.7237110388633177,0.6576020547065222
11,MORPHEME,glove,2.0,300.0,100.0,0.5397792434524676,0.9478643846742146,0.7079934631404636,0.6423279777263032
12,MORPHEME,glove,2.0,500.0,10.0,0.6801544030940436,0.7298205527585799,0.7852181823574419,0.7535310164134914
13,MORPHEME,glove,2.0,500.0,50.0,0.7567201548156925,0.7389120856447406,0.738410449816362,0.6928473129704555
14,MORPHEME,glove,2.0,500.0,100.0,0.7219454155574496,0.7306551098984402,0.7227861526924093,0.6751120365394156
15,MORPHEME,glove,2.0,1000.0,10.0,0.49569938788571244,0.9661171161860018,0.7820523322880797,0.7439596555215989
16,MORPHEME,glove,2.0,1000.0,20.0,0.7660559810469748,0.7820533794926985,0.7271675601835096,0.7629270941675967
17,MORPHEME,glove,2.0,1000.0,50.0,0.5698896190490944,0.9670498399615218,0.7318637788647089,0.6787607175697515
18,MORPHEME,glove,2.0,1000.0,100.0,0.551582992253614,0.9610573124613887,0.7240045203190963,0.6666969742160404
19,MORPHEME,glove,5.0,50.0,10.0,0.5390673164589785,0.5916262073556442,0.6531467290919954,0.6093394460308252
20,MORPHEME,glove,5.0,50.0,50.0,0.6049316842832204,0.5823700578774913,0.6017953565313359,0.5432955799970501
21,MORPHEME,glove,5.0,50.0,100.0,0.5753873662305005,0.5957443799472333,0.5750040689756768,0.5237178948668536
22,MORPHEME,glove,5.0,100.0,10.0,0.6449724330083554,0.7039809570956017,0.7574616386251928,0.7160653467168218
23,MORPHEME,glove,5.0,100.0,50.0,0.7130126695440461,0.6964059267469289,0.7096498342857875,0.6574079104428165
24,MORPHEME,glove,5.0,100.0,100.0,0.6855755129025087,0.699337498963463,0.6951890431757408,0.6376597126017516
25,MORPHEME,glove,5.0,300.0,10.0,0.6640202040574699,0.719666032217801,0.7751270393809726,0.7353198670131043
26,MORPHEME,glove,5.0,300.0,50.0,0.7375542778526911,0.7226733310497564,0.7251251160885667,0.6751291869398581
27,MORPHEME,glove,5.0,300.0,100.0,0.7041367523864591,0.7206261998799603,0.7063543449070195,0.6604949193270649
28,MORPHEME,glove,5.0,1000.0,10.0,0.6932058218843138,0.7462649878864628,0.8083659987435039,0.7675296940123093
29,MORPHEME,glove,5.0,1000.0,50.0,0.7642324984961849,0.7407106651528375,0.7553326158260544,0.7022413195462561
30,MORPHEME,glove,5.0,1000.0,100.0,0.7396665453902372,0.7421770238720797,0.7393942082493832,0.6866971393310984
31,MORPHEME,glove,7.0,50.0,10.0,0.4372270960764672,0.896171244563091,0.6796262000977954,0.6118957743257015
32,MORPHEME,glove,7.0,50.0,20.0,0.5530964456269236,0.5803730335875086,0.6096112691718479,0.5590717881469894
33,MORPHEME,glove,7.0,50.0,50.0,0.39538363232695695,0.8383343303264571,0.6221408440648307,0.565483383206231
34,MORPHEME,glove,7.0,50.0,100.0,0.35865414537683155,0.8211756131239107,0.5994926776080634,0.5407732188153467
35,MORPHEME,glove,7.0,100.0,10.0,0.5487727731464298,0.9996388481469881,0.7803983703330255,0.7172829329530644
36,MORPHEME,glove,7.0,100.0,20.0,0.6595330792695677,0.696126217522367,0.7126910783069104,0.6547875247944982
37,MORPHEME,glove,7.0,100.0,50.0,0.4975127888605889,0.9540241823618095,0.729365433276037,0.6675816834313865
38,MORPHEME,glove,7.0,100.0,100.0,0.4807434239351127,0.9320133320178159,0.7247595559293454,0.6616380911734631
39,MORPHEME,glove,7.0,300.0,10.0,0.5577888968347435,1.0166461437603578,0.8045274786093431,0.7388288011382794
40,MORPHEME,glove,7.0,300.0,20.0,0.6903910607283194,0.7202685810690495,0.737011484228554,0.6797113306482679
41,MORPHEME,glove,7.0,300.0,50.0,0.5094364376531538,0.9731515741738215,0.7502953391307977,0.690276672135258
42,MORPHEME,glove,7.0,300.0,100.0,0.4985110461991251,0.9427488633134499,0.7338985666676375,0.6673504562043909
43,MORPHEME,glove,7.0,500.0,10.0,0.7705265727981431,0.8054459545408671,0.8333231624628927,0.7705515141598436
44,MORPHEME,glove,7.0,500.0,50.0,0.7207182992717295,0.7503187632143044,0.7778838013585715,0.7183086312764057
45,MORPHEME,glove,7.0,500.0,100.0,0.7082057100622791,0.7278335734239595,0.7526553026749999,0.6966250793711296
46,MORPHEME,glove,7.0,1000.0,10.0,0.6008411377249191,1.0466365578267158,0.8370400542630645,0.7746220630217148
47,MORPHEME,glove,7.0,1000.0,20.0,0.7092070209605635,0.7431749922939771,0.7736172258632575,0.7128526743964536
48,MORPHEME,glove,7.0,1000.0,50.0,0.5435991989850671,0.9931507903938158,0.7801890285405101,0.7115013660517923
49,MORPHEME,glove,7.0,1000.0,100.0,0.5249395354443088,0.9802663808238408,0.7653953832565409,0.6986470538265104
50,MORPHEME,glove,10.0,50.0,10.0,0.4999045390365204,0.89235868338538,0.6689074386356944,0.6355512098414308
51,MORPHEME,glove,10.0,50.0,20.0,0.618302771071155,0.5762229866594439,0.6101542126156039,0.5704748734168568
52,MORPHEME,glove,10.0,50.0,50.0,0.45234150507375404,0.8462670560144153,0.6240897840089877,0.5744638647555823
53,MORPHEME,glove,10.0,50.0,100.0,0.4343751154200475,0.8199069970933727,0.5930576797911299,0.545454085041029
54,MORPHEME,glove,10.0,100.0,10.0,0.6095651419344409,1.0018526743480918,0.778241243202642,0.7356612209009161
55,MORPHEME,glove,10.0,100.0,20.0,0.7359824374192495,0.689749028088494,0.7198692626811142,0.6810134444587446
56,MORPHEME,glove,10.0,100.0,50.0,0.562615996589489,0.943208420664828,0.7315652792326789,0.6916653791382045
57,MORPHEME,glove,10.0,100.0,100.0,0.5531831302979602,0.9291719152199062,0.7143124501806513,0.6739981439099211
58,MORPHEME,glove,10.0,300.0,10.0,0.6264136272630886,1.0116967570301878,0.7992396748904179,0.7562380602520015
59,MORPHEME,glove,10.0,300.0,20.0,0.7473407521090086,0.7106238867617891,0.7314341124018303,0.7019821358278134
60,MORPHEME,glove,10.0,300.0,50.0,0.5838883705213161,0.9628265991309864,0.7481654512363817,0.7063972229239112
61,MORPHEME,glove,10.0,300.0,100.0,0.5547828976919589,0.9482312365854823,0.7286729565395161,0.6774666249464829
62,MORPHEME,glove,10.0,500.0,10.0,0.709045816943049,0.7674886143528503,0.81805351688463,0.7792823161959705
63,MORPHEME,glove,10.0,500.0,50.0,0.7774530561022689,0.7602043910863198,0.7707598336402968,0.7259213921412923
64,MORPHEME,glove,10.0,500.0,100.0,0.7531341565562104,0.7706107144161439,0.7519869770227214,0.7034799496409432
65,MORPHEME,glove,10.0,1000.0,10.0,0.6562344339821458,1.0519763032544822,0.8223393146085674,0.7774447323262824
66,MORPHEME,glove,10.0,1000.0,20.0,0.772651795157618,0.7412749455478013,0.7663214125857913,0.7261166421757452
67,MORPHEME,glove,10.0,1000.0,50.0,0.6108713098756544,1.0006170314237837,0.7772357605520935,0.7296395130803673
68,MORPHEME,glove,10.0,1000.0,100.0,0.5896891723483357,0.984478257327192,0.7564939227366488,0.7080815418988737
69,MORPHEME,glove,10.0,500.0,20.0,0.9289666666666668,0.4841330224641165,0.7634499999809266,0.7721340713596344
70,MORPHEME,glove,2.0,500.0,20.0,0.9153999999872844,0.5292648310534159,0.7325999999809265,0.8027285388565063
